epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.4665,2.61868,4.96129,1.90557,0,0,0,0,2.02095,4.55622,1.39645,4.55e-06,4.55e-06,4.55e-06
2,61.702,2.55899,4.93286,1.89191,0,0,0,0,2.02126,4.55868,1.39873,1.35824e-05,1.35824e-05,1.35824e-05
3,93.5858,2.44303,4.91701,1.85226,0,0,0,0,1.99921,4.55412,1.38476,2.25248e-05,2.25248e-05,2.25248e-05
4,126.435,2.42593,4.85373,1.80369,0,0,0,0,1.96204,4.54906,1.36513,3.1377e-05,3.1377e-05,3.1377e-05
5,173.165,2.30446,4.83769,1.7351,0,0,0,0,1.9039,4.54235,1.33339,4.01392e-05,4.01392e-05,4.01392e-05
6,220.162,2.23221,4.77583,1.7027,0,0,0,0,1.84829,4.54324,1.30885,4.88113e-05,4.88113e-05,4.88113e-05
7,252.883,2.06054,4.6859,1.52362,0,0,0,0,1.79786,4.53447,1.27533,5.73932e-05,5.73932e-05,5.73932e-05
8,283.398,2.03511,4.59625,1.51966,0,0,0,0,1.75195,4.5311,1.23633,6.58851e-05,6.58851e-05,6.58851e-05
9,311.282,1.95338,4.52794,1.42075,0,0,0,0,1.77618,4.52035,1.23755,7.42869e-05,7.42869e-05,7.42869e-05
10,337.972,1.97616,4.46088,1.42024,0,0,0,0,1.81028,4.49921,1.23546,8.25987e-05,8.25987e-05,8.25987e-05
11,365.432,1.9212,4.43201,1.39366,0,0,0,0,1.83042,4.47377,1.23609,9.08203e-05,9.08203e-05,9.08203e-05
12,393.673,1.83415,4.27443,1.35672,0,0,0,0,1.84742,4.44935,1.24308,9.89518e-05,9.89518e-05,9.89518e-05
13,421.162,1.80799,4.2183,1.29971,0,0,0,0,1.86706,4.42,1.23468,0.000106993,0.000106993,0.000106993
14,448.039,1.84708,4.09699,1.32155,0,0,0,0,1.91148,4.38543,1.23528,0.000114945,0.000114945,0.000114945
15,475.677,1.79388,4.00211,1.23928,0,0,0,0,1.94203,4.35526,1.23481,0.000122806,0.000122806,0.000122806
16,506.218,1.79846,3.9787,1.26686,0.01389,0.01389,0.01889,0.01133,1.93229,4.32881,1.2253,0.000130577,0.000130577,0.000130577
17,535.639,1.83917,3.95586,1.24524,0.02366,0.12606,0.03358,0.01735,1.91664,4.30116,1.21284,0.000138258,0.000138258,0.000138258
18,563.431,1.78875,3.8907,1.23052,0.04475,0.31601,0.07795,0.03639,1.88652,4.27815,1.20754,0.000145849,0.000145849,0.000145849
19,592.964,1.79958,3.76359,1.20194,0.03084,0.38135,0.08487,0.03696,1.86589,4.22913,1.1927,0.00015335,0.00015335,0.00015335
20,623.603,1.83658,3.74496,1.25376,0.02561,0.43651,0.08608,0.0346,1.89232,4.1953,1.20878,0.000160761,0.000160761,0.000160761
